mass,	offset_x,	offset_y,	Ix,	Iy,	Iz
100,	0,	10,	2160.12,	2168.136,	4219.241
100,	10,	10,	2168.136,	2168.136,	4227.257
100,	0,	20,	2160.12,	2192.184,	4243.289
100,	20,	20,	2192.184,	2192.184,	4275.352
100,	10,	20,	2168.136,	2192.184,	4251.305
100,	0,	50,	2160.12,	2360.517,	4411.622
200,	0,	10,	2160.647,	2174.025,	4225.02
200,	10,	10,	2174.025,	2174.025,	4238.397
200,	0,	20,	2160.647,	2214.157,	4265.152
200,	20,	20,	2214.157,	2214.157,	4318.662
200,	10,	20,	2174.025,	2214.157,	4278.53
200,	0,	50,	2160.647,	2495.085,	4546.079
500,	0,	10,	2162.082,	2184.427,	4235.237
500,	10,	10,	2184.427,	2184.427,	4257.582
500,	0,	20,	2162.082,	2251.463,	4302.273
500,	20,	20,	2251.463,	2251.463,	4391.653
500,	10,	20,	2184.427,	2251.463,	4324.618
500,	0,	50,	2162.082,	2720.711,	4771.52